text,label
"This product is amazing, I love it!",Positive
I am not satisfied with the quality of the product.,Negative
"It was okay, nothing special.",Neutral
"Excellent product, will buy again.",Positive
"The product broke after a week, very disappointed.",Negative
"Not worth the money, very poor quality.",Negative
"I absolutely hate this product, waste of money!",Negative
The product is decent for the price.,Neutral
I'm extremely happy with my purchase.,Positive
"The product is just average, nothing more.",Neutral
"The customer service was fantastic, very helpful.",Positive
"I'm not happy with the delivery time, too slow.",Negative
"The packaging was damaged, but the product is fine.",Neutral
"I love the design, it's so sleek and modern.",Positive
"Terrible experience, I want a refund!",Negative
"The instructions were unclear, hard to assemble.",Negative
"Good value for money, I'm satisfied.",Positive
"The product exceeded my expectations, great quality!",Positive
"Very disappointed, it stopped working after a month.",Negative
"The color is not as described, but still okay.",Neutral
"Fast delivery, and the product works well.",Positive
"Cheap and fragile, not recommended.",Negative
"Satisfied with the purchase, good quality.",Positive
"It didn't meet my expectations, very basic.",Neutral
"Amazing features for the price, highly recommend!",Positive
"The product arrived late, but it's good quality.",Neutral
"Poor customer service, not helpful at all.",Negative
"The material feels cheap, not durable.",Negative
"It works as advertised, no issues.",Neutral
"I expected more for the price, not worth it.",Negative
"Great product, I'm very happy with it.",Positive
"The size is perfect, just what I needed.",Positive
"Not happy with the product, it feels flimsy.",Negative
"The product is good, but the color is off.",Neutral
"Very happy with my purchase, excellent quality!",Positive
"It broke after a few uses, poor quality.",Negative
"The product is as expected, no surprises.",Neutral
"It looks nice, but it's not very durable.",Negative
"Happy with the purchase, works as described.",Neutral
"The product is mediocre, nothing special.",Neutral
"It's decent, but I've seen better.",Negative
"I wouldn't buy this again, not worth it.",Neutral
"The quality is good, but the price is high.",Negative
"Not as described, disappointed with the purchase.",Neutral
"Good quality, but the shipping was slow.",Negative
"The product is great, but the customer service was bad.",Positive
"Excellent quality, very satisfied with the product.",Negative
"It was a gift, and the recipient loved it.",Neutral
"Not worth the hype, it's just okay.",Positive
"Amazing quality, highly recommended!",Positive
"I had high hopes, but it didn't deliver.",Negative
"The product is functional, but nothing special.",Neutral
"The instructions were easy to follow, no issues.",Positive
"It's okay for the price, but not great.",Neutral
"The product is sturdy and well-made, I'm happy.",Positive
"It looks cheap, but it works fine.",Positive
The quality is better than I expected.,Positive
"The product is just as described, no complaints.",Positive
"I'm very happy with the quality, worth the price.",Negative
"It was a waste of money, not recommended.",Positive
"The product is very well-made, I'm impressed.",Positive
"It stopped working after a few weeks, very upset.",Negative
"The product is good, but the packaging was poor.",Neutral
"I'm satisfied with the purchase, no issues so far.",Neutral
"The product is average, nothing to rave about.",Positive
"The quality is excellent, very pleased.",Negative
"It didn't work as expected, disappointed.",Negative
"Very poor quality, not happy with the purchase.",Positive
The product arrived on time and works well.,Positive
"The quality is not great, but it's okay for the price.",Neutral
"Not what I expected, very disappointed.",Positive
"The product works fine, but it feels cheap.",Neutral
"I'm very pleased with the purchase, great value!",Positive
"The product broke after the first use, terrible quality.",Negative
"I'm happy with the product, it meets my needs.",Positive
"The quality is subpar, not worth buying.",Negative
"It exceeded my expectations, very satisfied.",Positive
"I'm not impressed, it's just okay.",Positive
"The product is good, but the instructions were confusing.",Negative
"It looks nice, but it's not very functional.",Neutral
"I'm very satisfied, great product!",Negative
"Not worth the money, very poor experience.",Positive
"It's an average product, nothing special.",Negative
"The product is high quality, very happy with it.",Neutral
"I'm disappointed, it doesn't work as described.",Neutral
"The product is okay, but not great.",Negative
"I'm satisfied with the quality, it's worth the price.",Negative
"It was a disappointing purchase, not as expected.",Neutral
"The product is good, but the delivery was slow.",Positive
"I'm happy with my purchase, no complaints.",Negative
"The quality is excellent, highly recommend!",Neutral
"It didn't last long, very disappointed.",Neutral
"The product is decent, but could be better.",Positive
"I'm very happy with the quality, great product!",Negative
"Not what I was expecting, disappointed.",Neutral
"The product is good, but not amazing.",Negative
"It works well, but the build quality is low.",Neutral
"Very satisfied with the product, would buy again.",Negative
"The quality is good, but the customer service was lacking.",Neutral
"The product is just okay, not great.",Neutral
"I'm happy with the purchase, good value for money.",Positive
"It looks nice, but the quality is poor.",Negative
"The product is excellent, very satisfied!",Positive
"I'm disappointed with the product, it doesn't work well.",Neutral
"The quality is good, but it's overpriced.",Negative
"I'm satisfied with the purchase, it's a decent product.",Negative
"It didn't meet my expectations, not happy with it.",Negative
"The product is okay, but not worth the price.",Negative
"I'm very happy with the product, highly recommend!",Positive
"The product broke shortly after I received it, not good.",Negative
